iter	Passed	Remaining
0	178	84214
1	188	44184
2	196	30673
3	204	23940
4	214	20010
5	222	17286
6	231	15361
7	240	13938
8	264	13582
9	273	12644
10	283	11863
11	292	11207
12	301	10640
13	310	10145
14	318	9709
15	327	9323
16	335	8992
17	344	8694
18	353	8418
19	361	8162
20	369	7933
21	378	7742
22	387	7566
23	396	7398
24	405	7248
25	414	7105
26	424	6989
27	433	6873
28	443	6768
29	452	6661
30	461	6567
31	470	6472
32	479	6385
33	490	6314
34	499	6239
35	509	6171
36	518	6099
37	528	6031
38	537	5968
39	546	5901
40	555	5843
41	565	5784
42	575	5738
43	585	5694
44	595	5647
45	604	5601
46	614	5554
47	623	5509
48	633	5467
49	642	5425
50	652	5382
51	661	5345
52	671	5310
53	682	5280
54	692	5248
55	701	5213
56	711	5181
57	721	5147
58	730	5111
59	739	5077
60	748	5046
61	758	5013
62	767	4982
63	777	4954
64	786	4923
65	800	4922
66	809	4892
67	818	4862
68	827	4833
69	836	4805
70	846	4779
71	855	4751
72	864	4722
73	873	4696
74	881	4668
75	890	4641
76	899	4613
77	908	4589
78	918	4567
79	927	4542
80	936	4519
81	945	4495
82	954	4471
83	963	4449
84	972	4429
85	983	4412
86	992	4392
87	1001	4371
88	1012	4355
89	1022	4337
90	1031	4317
91	1040	4298
92	1049	4277
93	1059	4261
94	1068	4241
95	1077	4222
96	1087	4205
97	1096	4185
98	1106	4167
99	1119	4163
100	1128	4145
101	1137	4126
102	1146	4107
103	1155	4089
104	1165	4072
105	1174	4055
106	1183	4037
107	1193	4022
108	1202	4005
109	1212	3989
110	1221	3972
111	1231	3957
112	1240	3940
113	1249	3923
114	1259	3908
115	1268	3892
116	1277	3876
117	1287	3863
118	1297	3847
119	1306	3832
120	1315	3816
121	1324	3800
122	1333	3784
123	1346	3778
124	1358	3769
125	1370	3762
126	1382	3754
127	1394	3747
128	1407	3742
129	1419	3733
130	1430	3723
131	1441	3714
132	1454	3706
133	1466	3699
134	1478	3690
135	1489	3681
136	1501	3670
137	1512	3661
138	1523	3650
139	1535	3640
140	1546	3631
141	1557	3620
142	1568	3608
143	1579	3597
144	1590	3587
145	1603	3581
146	1616	3572
147	1627	3563
148	1639	3553
149	1652	3547
150	1664	3539
151	1675	3528
152	1688	3519
153	1700	3511
154	1712	3502
155	1724	3492
156	1734	3480
157	1746	3471
158	1761	3467
159	1773	3459
160	1785	3449
161	1798	3442
162	1813	3437
163	1826	3429
164	1840	3423
165	1854	3418
166	1867	3410
167	1883	3408
168	1898	3404
169	1913	3398
170	1928	3395
171	1943	3390
172	1956	3381
173	1967	3370
174	1979	3360
175	1991	3349
176	2002	3338
177	2014	3327
178	2025	3315
179	2037	3304
180	2048	3292
181	2058	3280
182	2069	3268
183	2080	3255
184	2092	3246
185	2103	3234
186	2114	3222
187	2127	3213
188	2137	3200
189	2147	3187
190	2158	3175
191	2169	3163
192	2179	3151
193	2189	3138
194	2199	3125
195	2210	3112
196	2220	3099
197	2230	3086
198	2239	3072
199	2250	3060
200	2259	3046
201	2270	3034
202	2281	3022
203	2291	3010
204	2301	2997
205	2311	2984
206	2321	2972
207	2332	2960
208	2345	2950
209	2356	2939
210	2366	2927
211	2377	2916
212	2388	2904
213	2399	2892
214	2409	2880
215	2420	2868
216	2432	2858
217	2454	2859
218	2466	2849
219	2476	2837
220	2487	2824
221	2497	2813
222	2508	2801
223	2518	2788
224	2528	2775
225	2538	2763
226	2548	2751
227	2559	2738
228	2568	2725
229	2578	2712
230	2588	2700
231	2598	2688
232	2607	2674
233	2617	2662
234	2628	2650
235	2637	2637
236	2647	2625
237	2657	2612
238	2667	2600
239	2678	2588
240	2688	2576
241	2699	2565
242	2710	2553
243	2720	2541
244	2730	2530
245	2740	2517
246	2749	2504
247	2759	2492
248	2769	2480
249	2779	2467
250	2788	2455
251	2797	2441
252	2806	2429
253	2815	2416
254	2825	2404
255	2834	2391
256	2843	2378
257	2852	2366
258	2862	2353
259	2872	2341
260	2882	2329
261	2891	2317
262	2901	2305
263	2910	2293
264	2920	2281
265	2929	2268
266	2938	2255
267	2948	2244
268	2957	2232
269	2967	2220
270	2977	2208
271	2986	2196
272	2996	2184
273	3005	2172
274	3015	2160
275	3024	2147
276	3033	2135
277	3043	2123
278	3051	2111
279	3060	2098
280	3069	2086
281	3077	2073
282	3086	2061
283	3095	2048
284	3103	2036
285	3113	2024
286	3122	2012
287	3130	2000
288	3139	1987
289	3147	1975
290	3155	1962
291	3164	1950
292	3173	1938
293	3182	1926
294	3192	1915
295	3201	1903
296	3211	1892
297	3220	1880
298	3230	1869
299	3241	1858
300	3252	1847
301	3262	1836
302	3272	1825
303	3281	1813
304	3291	1802
305	3300	1790
306	3311	1779
307	3331	1774
308	3343	1763
309	3354	1752
310	3364	1741
311	3374	1730
312	3384	1719
313	3394	1708
314	3404	1697
315	3413	1685
316	3424	1674
317	3434	1663
318	3444	1652
319	3454	1640
320	3464	1629
321	3473	1618
322	3483	1607
323	3493	1595
324	3501	1583
325	3511	1572
326	3522	1561
327	3531	1550
328	3540	1538
329	3549	1527
330	3559	1516
331	3569	1505
332	3578	1493
333	3587	1482
334	3596	1470
335	3605	1459
336	3614	1447
337	3624	1436
338	3632	1425
339	3642	1414
340	3651	1402
341	3662	1392
342	3672	1381
343	3681	1369
344	3691	1358
345	3700	1347
346	3709	1336
347	3718	1325
348	3728	1313
349	3740	1303
350	3749	1292
351	3758	1281
352	3767	1269
353	3776	1258
354	3785	1247
355	3795	1236
356	3803	1225
357	3813	1214
358	3822	1203
359	3830	1191
360	3838	1180
361	3847	1169
362	3855	1157
363	3863	1146
364	3871	1135
365	3879	1123
366	3887	1112
367	3894	1100
368	3902	1089
369	3918	1080
370	3941	1072
371	3952	1062
372	3962	1051
373	3972	1040
374	3981	1029
375	4007	1023
376	4030	1015
377	4041	1005
378	4061	996
379	4073	986
380	4090	976
381	4112	968
382	4123	958
383	4157	952
384	4178	944
385	4223	941
386	4265	936
387	4287	928
388	4310	919
389	4368	918
390	4381	907
391	4393	896
392	4408	886
393	4417	874
394	4428	863
395	4579	878
396	4663	880
397	5269	979
398	5316	972
399	5377	967
400	5471	968
401	5660	985
402	5691	974
403	5775	972
